treatments_name,year,replicate,root_knot_nematode_planting,root_knot_nematode_midseason,root_knot_nematode_end_of_season,weed,vigor_rating,gall_rating,fruit_yield,southern_blight,latitude,longitude
Untreated check,2019,1,42,10,473,43,9,4,45.4445,5.084745763,31.502951,-83.545263
Untreated check,2019,2,10,2,190,30,8,3.8,101.03902,1.315789474,31.502951,-83.545263
Untreated check,2019,3,0,18,156,13,7,3.8,32.57355,7.692307692,31.502951,-83.545263
Untreated check,2019,4,22,22,48,50,8,4.6,17.82388,10.27667984,31.502951,-83.545263
Dominus,2019,1,12,2,55,43,9,3.6,80.44493,11.74840085,31.502951,-83.545263
Dominus,2019,2,26,2,415,53,7,3.8,52.04972,9.85915493,31.502951,-83.545263
Dominus,2019,3,8,2,5,53,8,3.2,54.84855,5.454545455,31.502951,-83.545263
Dominus,2019,4,2,2,110,37,10,3.6,59.91698,12.06896552,31.502951,-83.545263
Telone,2019,1,0,2,12,17,10,3,90.90915,0,31.502951,-83.545263
Telone,2019,2,24,0,0,33,8,3,82.80641,8.955223881,31.502951,-83.545263
Telone,2019,3,62,0,0,40,8,3.2,29.87458,8.605200946,31.502951,-83.545263
Telone,2019,4,12,0,166,33,9,3,48.36161,18.30985915,31.502951,-83.545263
Resistant variety,2019,1,2,2,0,47,8,3.2,81.44441,1.408450704,31.502951,-83.545263
Resistant variety,2019,2,16,0,2,50,7,3,119.69094,5.144855145,31.502951,-83.545263
Resistant variety,2019,3,12,10,0,33,7,3,27.35495,12,31.502951,-83.545263
Resistant variety,2019,4,4,2,5,27,7,3.4,28.81168,6.557377049,31.502951,-83.545263
Pic 60,2019,1,16,0,36,3,10,3.2,134.81927,0,31.502951,-83.545263
Pic 60,2019,2,2,0,0,0,9,3,106.94955,1.315789474,31.502951,-83.545263
Pic 60,2019,3,14,4,154,0,9,3,124.78936,1.315789474,31.502951,-83.545263
Pic 60,2019,4,18,6,0,7,8,3,113.13803,0,31.502951,-83.545263
Paladin,2019,1,8,0,41,20,9,3.4,96.76784,2.684684685,31.502951,-83.545263
Paladin,2019,2,2,0,7,23,8,3.2,58.18667,12.88017963,31.502951,-83.545263
Paladin,2019,3,164,2,38,17,9,3.6,43.4859,3.448275862,31.502951,-83.545263
Paladin,2019,4,0,2,14,3,7,3,66.73216,2.43902439,31.502951,-83.545263
Untreated check,2020,1,8,2,180,14,4,3.4,18.45,10.16949153,33.8868,-83.421349
Untreated check,2020,2,0,0,137,104,5,3,102,2.631578947,33.8868,-83.421349
Untreated check,2020,3,0,0,986,25,3,3.6,33.9,15.38461538,33.8868,-83.421349
Untreated check,2020,4,2,0,2,90,7,3,48.7,20.55335968,33.8868,-83.421349
Dominus,2020,1,2,0,230,21,8,3,118.3,23.49680171,33.8868,-83.421349
Dominus,2020,2,2,0,31,22,7,3.2,83.7,19.71830986,33.8868,-83.421349
Dominus,2020,3,0,0,36,60,9,3,86.35,10.90909091,33.8868,-83.421349
Dominus,2020,4,2,2,418,120,7,3.4,108.8,24.13793103,33.8868,-83.421349
Telone,2020,1,0,0,0,1,8,3,103.65,0,33.8868,-83.421349
Telone,2020,2,0,0,60,56,9,3,91.9,17.91044776,33.8868,-83.421349
Telone,2020,3,4,0,62,63,8,3,89.94,17.21040189,33.8868,-83.421349
Telone,2020,4,2,0,65,141,8,3.4,88.75,36.61971831,33.8868,-83.421349
Resistant variety,2020,1,4,1,5,39,6,3,119.65,2.816901408,33.8868,-83.421349
Resistant variety,2020,2,4,0,0,143,3,3,88.2,10.28971029,33.8868,-83.421349
Resistant variety,2020,3,4,0,0,52,6,3,103.1,24,33.8868,-83.421349
Resistant variety,2020,4,2,0,0,21,6,3,97,13.1147541,33.8868,-83.421349
Pic 60,2020,1,0,0,110,3,6,3,106.05,0,33.8868,-83.421349
Pic 60,2020,2,0,3,0,0,6,3,66.65,2.631578947,33.8868,-83.421349
Pic 60,2020,3,10,0,43,2,6,3,87.7,2.631578947,33.8868,-83.421349
Pic 60,2020,4,4,0,14,43,6,3,119.3,0,33.8868,-83.421349
Paladin,2020,1,0,3,2,2,5,3,97.1,5.369369369,33.8868,-83.421349
Paladin,2020,2,0,0,2,3,6,3,106.25,25.76035926,33.8868,-83.421349
Paladin,2020,3,0,0,10,23,6,3,90.05,6.896551724,33.8868,-83.421349
Paladin,2020,4,2,0,0,2,6,3,105.25,4.87804878,33.8868,-83.421349
